ra,dec,source_type,z_spec,z_phot_mean,mag_g,mag_r,mag_z
1.3302,-6.589,SER,-99,0.6058,21.6109,20.3849,18.6772
1.338,-32.5554,EXP,-99,0.4264,22.1627,20.7178,19.9374
1.3472,-35.4491,SER,-99,0.275,19.6526,18.1648,17.4061
1.5169,27.7478,SER,0.1913,0.1971,18.5809,17.2647,16.4269
1.6887,-4.8981,SER,-99,0.5591,20.285,18.948,17.9189
1.7018,-10.5769,DEV,0.5466,0.5569,20.9549,19.128,17.8435
1.7036,-11.2181,SER,-99,0.3808,20.3535,18.7484,17.8374
1.7408,-37.9965,SER,-99,0.2116,19.3823,18.1595,17.4663
1.7669,10.6214,SER,0.16,0.1668,18.4904,17.2668,16.456
1.7845,-33.4765,DEV,-99,0.4238,22.6029,20.6315,19.7451
1.7846,-13.6682,SER,-99,0.2544,19.8564,18.6704,17.964
1.7983,-43.4033,SER,-99,0.5237,22.6686,20.9589,19.869
1.7985,-43.404,SER,-99,0.5031,20.8036,19.1246,18.0458
1.8026,-33.8122,SER,-99,0.4653,21.2759,19.4117,18.2127
1.8129,-37.64,SER,-99,0.2345,20.2862,19.071,18.3944
1.8335,20.4501,SER,-99,0.083,18.0571,17.2857,16.6133
1.8715,-60.461,SER,-99,0.2054,18.9459,17.7683,17.0506
1.9144,-6.7918,SER,-99,0.2141,19.0606,17.9017,17.1793
2.0823,-1.5778,SER,-99,0.5681,20.4243,19.1117,18.1014
2.0881,1.1794,SER,0.379,0.3607,20.4829,18.7276,17.8133
2.1111,-32.926,SER,-99,0.1956,18.3778,17.2899,16.569
2.2033,0.2641,SER,0.3967,0.3627,20.1145,18.3884,17.4561
2.3638,3.8075,DEV,-99,0.4606,20.0348,18.6751,17.695
2.3976,1.5859,SER,-99,0.5167,20.6623,19.5205,18.7291
2.5613,-51.6253,SER,-99,0.2235,18.5896,17.2964,16.5871
2.8242,-5.0368,SER,-99,0.138,17.7907,17.3011,16.8167
2.8696,18.761,SER,0.2364,0.2651,18.7499,17.2846,16.4157
2.9638,9.4566,SER,0.1643,0.1665,18.5699,17.2985,16.4425
2.9819,16.9502,SER,0.2188,0.2114,18.6085,17.2807,16.5036
3.0494,24.589,SER,-99,0.0693,17.7755,17.2964,16.9297
3.0526,19.9991,SER,-99,0.1386,18.2108,17.2671,16.5347
3.28,-2.6351,SER,-99,0.0693,17.9443,17.2654,16.7961
3.5079,-37.3872,SER,-99,0.1997,18.4562,17.2709,16.5782
3.5789,-34.5848,SER,-99,0.3034,18.8882,17.2787,16.4721
3.8266,14.7013,REX,0.0862,0.082,17.7864,17.2877,16.9107
4.0853,6.2904,SER,-99,0.0885,18.3419,17.276,16.3757
4.1103,-46.3978,SER,-99,0.3195,18.7569,17.2758,16.4015
4.1306,-31.3785,SER,-99,0.1047,18.2552,17.2858,16.6516
4.1416,-60.3778,SER,-99,0.2616,18.7318,17.2745,16.5273
4.5005,-49.8663,SER,-99,0.4022,20.0172,18.5966,17.8014
