ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
3.7531 ,26.8591 ,SER,0.4048,0.3766 ,19.3074 ,17.5160 ,16.5691 ,
3.7870 ,-6.9052 ,DEV,-99,0.6269 ,22.9613 ,21.0774 ,19.6230 ,
3.8494 ,-33.8242 ,SER,-99,0.2224 ,18.9685 ,17.7026 ,17.0228 ,
3.9365 ,33.5515 ,SER,0.2511,0.2467 ,18.9214 ,17.4478 ,16.6171 ,
3.9776 ,-63.7715 ,SER,-99,0.6492 ,21.0612 ,19.4847 ,18.0304 ,Jacobs et al.2019
4.0093 ,-13.4169 ,SER,-99,0.4847 ,21.0617 ,19.2340 ,18.1507 ,Huang et al. 2021
4.0731 ,-12.0265 ,REX,-99,0.6262 ,22.8980 ,21.0508 ,19.6578 ,
4.0930 ,-9.1126 ,SER,-99,0.4431 ,22.0815 ,20.2312 ,19.2119 ,Huang et al. 2021
4.1420 ,-29.6471 ,SER,0.6955,0.6524 ,22.2669 ,20.4749 ,18.9378 ,
4.4000 ,-11.8218 ,DEV,-99,0.4975 ,22.4610 ,20.8393 ,19.7637 ,
4.4252 ,24.8998 ,REX,0.5592,0.4819 ,21.2878 ,19.6299 ,18.5131 ,
4.4906 ,-56.1451 ,EXP,-99,0.4311 ,21.4522 ,20.1427 ,19.1711 ,
4.5005 ,-49.8663 ,SER,-99,0.4022 ,20.0172 ,18.5966 ,17.8014 ,
4.5373 ,24.4728 ,SER,-99,0.2962 ,20.6185 ,19.0580 ,18.2343 ,
4.6360 ,-6.7648 ,SER,-99,0.1931 ,20.2199 ,19.0099 ,18.2634 ,
4.7044 ,-49.9095 ,SER,-99,0.4634 ,21.5976 ,19.9665 ,18.9921 ,
4.8217 ,16.9210 ,SER,-99,0.1992 ,19.1139 ,17.8092 ,16.9896 ,
4.9010 ,32.4253 ,SER,-99,0.0823 ,18.4690 ,17.5256 ,16.8476 ,
5.0888 ,-30.0116 ,DEV,-99,0.6890 ,22.6069 ,20.7716 ,19.1834 ,
5.1486 ,-53.3937 ,SER,-99,0.2653 ,20.4992 ,19.9621 ,19.8006 ,
5.2039 ,-6.3717 ,SER,-99,0.7825 ,22.9505 ,21.0138 ,19.1546 ,
5.2593 ,-26.5437 ,SER,-99,0.6802 ,23.1742 ,21.2171 ,19.6723 ,Huang et al. 2021
5.2926 ,-43.4915 ,SER,-99,0.5999 ,21.2576 ,20.0677 ,19.1585 ,
5.4130 ,-54.9590 ,EXP,-99,0.5422 ,21.6894 ,20.3292 ,19.1378 ,
5.5754 ,-49.6167 ,SER,-99,0.2521 ,18.7257 ,17.4794 ,16.7160 ,
5.6116 ,3.7074 ,DEV,-99,0.6465 ,22.9988 ,21.2389 ,19.8515 ,
5.6187 ,1.8037 ,DEV,-99,0.7422 ,20.7925 ,19.9967 ,18.4965 ,Storfer et al. 2022
5.6187 ,1.8037 ,DEV,-99,0.7422 ,20.7925 ,19.9967 ,18.4965 ,Huang et al. 2020
5.6252 ,-13.5769 ,SER,-99,0.2541 ,20.9277 ,19.6083 ,18.8561 ,
5.9582 ,29.2865 ,SER,-99,0.2268 ,20.4345 ,19.1383 ,18.3975 ,
6.0160 ,18.0711 ,SER,0.5877,0.5991 ,22.0963 ,20.3216 ,19.0025 ,
6.0513 ,-63.6469 ,SER,-99,0.6226 ,21.6279 ,19.8966 ,18.5089 ,
6.2945 ,-49.7741 ,SER,-99,0.6880 ,22.0864 ,20.1486 ,18.5906 ,Stein et al.2022
6.3656 ,-6.5848 ,SER,-99,0.1398 ,20.0481 ,19.6267 ,19.3664 ,
6.5277 ,-39.5860 ,DEV,-99,0.4789 ,20.3242 ,19.3907 ,18.2772 ,
6.5929 ,15.4729 ,SER,-99,0.2004 ,19.2777 ,18.2309 ,17.4382 ,
6.6165 ,30.5998 ,DEV,-99,0.3118 ,21.0099 ,19.9849 ,18.6590 ,
6.7111 ,19.8964 ,SER,0.7678,0.7535 ,22.2893 ,20.4724 ,18.6785 ,
6.7875 ,-12.5879 ,SER,-99,0.2533 ,19.0455 ,17.9322 ,17.2212 ,
6.8132 ,-44.3824 ,SER,-99,0.3214 ,19.2176 ,17.5740 ,16.7524 ,
6.9778 ,-47.1915 ,DEV,-99,0.8637 ,23.4736 ,21.3807 ,19.4480 ,Stein et al.2022
6.9778 ,-47.1915 ,DEV,-99,0.8637 ,23.4736 ,21.3807 ,19.4480 ,
7.0449 ,-48.4333 ,EXP,-99,0.4635 ,21.6371 ,20.5072 ,19.7231 ,
7.1508 ,-63.1562 ,SER,-99,0.1411 ,19.2595 ,18.9454 ,18.7558 ,
7.3644 ,-33.6412 ,SER,-99,0.2551 ,20.9167 ,19.5374 ,18.8172 ,
7.5965 ,-11.4971 ,SER,-99,0.2883 ,19.1646 ,17.6338 ,16.7882 ,
7.6017 ,-4.4479 ,DEV,0.7898429,0.7751 ,22.6026 ,20.8440 ,19.0166 ,Storfer et al. 2022
