ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
37.5699 ,-31.3669 ,SER,-99,0.5530 ,21.1036 ,19.7720 ,18.7279 ,Jacobs et al.2019
38.0264 ,-35.4899 ,REX,-99,0.6103 ,21.2899 ,19.9882 ,18.8997 ,Huang et al. 2021
38.2078 ,-3.3906 ,SER,-99,0.4286 ,19.9022 ,18.1271 ,17.1454 ,Huang et al. 2020
38.4885 ,6.7115 ,SER,-99,0.5972 ,21.3464 ,19.5684 ,18.1440 ,Stein et al.2022
38.6758 ,-14.5978 ,SER,-99,0.7160 ,21.3985 ,20.3181 ,19.1688 ,Stein et al.2022
38.9099 ,-41.7302 ,REX,-99,0.7668 ,21.4898 ,20.4705 ,19.1720 ,Stein et al.2022
39.3638 ,-9.2190 ,DEV,-99,0.9133 ,22.2598 ,21.0110 ,19.2231 ,Jacobs et al.2019
39.4391 ,-18.0172 ,REX,-99,0.7631 ,21.2418 ,20.5868 ,19.5563 ,Jacobs et al.2019
39.8741 ,14.3212 ,DEV,-99,0.7610 ,22.0828 ,20.4024 ,18.5823 ,Stein et al.2022
39.9261 ,-1.4632 ,SER,-99,0.2921 ,19.7190 ,18.5193 ,17.7063 ,Huang et al. 2020
40.0268 ,-11.4252 ,REX,-99,0.6972 ,21.3785 ,20.2123 ,19.0122 ,Huang et al. 2021
40.3276 ,-26.7760 ,SER,-99,0.5764 ,19.9816 ,19.0562 ,18.0566 ,Stein et al.2022
40.6694 ,7.0367 ,SER,-99,0.2692 ,19.9696 ,18.7422 ,17.7578 ,Stein et al.2022
40.7511 ,-19.8931 ,REX,-99,0.7901 ,21.5448 ,20.7021 ,19.4882 ,Huang et al. 2021
40.7543 ,-28.2786 ,DEV,-99,0.7023 ,23.0542 ,21.1534 ,19.5148 ,Stein et al.2022
41.0434 ,-46.4402 ,SER,-99,0.6214 ,20.8031 ,19.7624 ,18.8643 ,Stein et al.2022
41.7696 ,-21.3896 ,SER,-99,0.3501 ,19.6328 ,18.2443 ,17.3848 ,Stein et al.2022
42.0397 ,-39.9301 ,DEV,-99,0.6788 ,20.8217 ,19.2792 ,17.7907 ,Jacobs et al.2019
42.5350 ,0.1379 ,SER,0.8279 ,0.8035 ,22.7321 ,20.8337 ,18.8940 ,Huang et al. 2021
43.1732 ,-14.9921 ,SER,-99,0.2477 ,17.9893 ,16.5387 ,15.6948 ,Carrasco et al.2017
43.4829 ,-35.2228 ,SER,-99,0.7905 ,22.1220 ,20.8343 ,19.2504 ,Stein et al.2022
43.5071 ,-42.3918 ,SER,-99,0.6523 ,21.1426 ,20.1808 ,19.1958 ,Stein et al.2022
43.8215 ,-16.6815 ,SER,-99,0.6949 ,22.9952 ,21.0339 ,19.4174 ,Huang et al. 2021
44.9811 ,1.1387 ,DEV,-99,0.8864 ,22.9500 ,21.3949 ,19.4207 ,Huang et al. 2021
45.8553 ,-22.9291 ,SER,-99,0.5531 ,21.6457 ,19.8499 ,18.6284 ,Huang et al. 2021
45.8714 ,3.7781 ,SER,-99,0.7009 ,21.9405 ,20.1703 ,18.5108 ,Huang et al. 2021
45.9681 ,-50.3978 ,EXP,-99,0.5432 ,21.6115 ,20.5420 ,19.5412 ,Jacobs et al.2019
46.1573 ,-58.7799 ,SER,-99,0.7397 ,20.8772 ,20.3567 ,19.5979 ,Storfer et al. 2022
46.4172 ,-29.5712 ,SER,-99,0.3556 ,20.1239 ,18.3895 ,17.5169 ,Huang et al. 2021
46.6654 ,-27.6075 ,SER,-99,0.3851 ,19.7468 ,18.2170 ,17.2568 ,Huang et al. 2021
47.0084 ,-28.2318 ,SER,-99,0.5376 ,20.6462 ,19.1182 ,17.9942 ,Stein et al.2022
47.1385 ,-17.6676 ,REX,-99,0.7493 ,21.2935 ,20.4933 ,19.4214 ,Huang et al. 2021
47.2494 ,-34.6868 ,SER,-99,0.3980 ,21.0065 ,19.4110 ,18.3291 ,Stein et al.2022
47.4380 ,-14.6211 ,SER,-99,0.8178 ,22.8529 ,21.3285 ,19.4635 ,Huang et al. 2021
47.6908 ,-35.7984 ,SER,-99,0.7501 ,21.2350 ,20.2496 ,18.9442 ,Jacobs et al.2019
47.7087 ,-17.7748 ,EXP,-99,0.6691 ,23.0677 ,21.3197 ,19.8010 ,Huang et al. 2020
47.9096 ,-44.1370 ,DEV,-99,0.8951 ,23.6400 ,21.9186 ,19.8845 ,Stein et al.2022
47.9174 ,-7.5180 ,SER,-99,0.4286 ,20.4338 ,19.0556 ,18.1814 ,Huang et al. 2021
48.5476 ,-21.1639 ,DEV,-99,0.7882 ,21.3414 ,20.3098 ,18.8549 ,Stein et al.2022
48.5980 ,-54.6504 ,SER,-99,0.7375 ,21.2048 ,20.6723 ,19.5660 ,Stein et al.2022
48.7962 ,-25.7538 ,DEV,-99,0.8670 ,23.5464 ,21.6857 ,19.7615 ,Stein et al.2022
48.8684 ,-27.9493 ,SER,-99,0.4475 ,19.8768 ,18.0395 ,17.0367 ,Stein et al.2022
49.2773 ,-43.4571 ,REX,-99,0.8240 ,21.1915 ,20.5350 ,19.4972 ,Stein et al.2022
49.4191 ,-17.1849 ,SER,-99,0.4983 ,20.3231 ,18.7776 ,17.7162 ,Stein et al.2022
49.4409 ,-19.5621 ,EXP,-99,0.7534 ,22.3773 ,21.2259 ,19.9385 ,Stein et al.2022
49.7786 ,-27.6615 ,DEV,-99,0.6966 ,21.7997 ,20.5057 ,19.1890 ,Huang et al. 2021
49.9220 ,-17.5679 ,DEV,-99,0.7610 ,22.3311 ,20.7533 ,19.0635 ,Jacobs et al.2019
49.9922 ,-47.9877 ,SER,-99,0.5236 ,21.6359 ,19.9715 ,18.7467 ,Storfer et al. 2022
49.9923 ,-3.4863 ,SER,-99,0.5066 ,21.6820 ,19.9396 ,18.8059 ,Stein et al.2022
50.1168 ,-41.9888 ,SER,-99,0.6417 ,21.4688 ,19.7606 ,18.2564 ,Jacobs et al.2019
50.3566 ,-15.5010 ,SER,-99,0.6799 ,21.6686 ,19.8744 ,18.2660 ,Jacobs et al.2019
50.5684 ,-52.5779 ,SER,-99,0.4421 ,20.0039 ,18.1908 ,17.2036 ,Diehl et al. 2017
50.5943 ,-42.4061 ,SER,-99,0.6296 ,21.4241 ,19.9759 ,18.7135 ,Jacobs et al.2019
50.6769 ,-23.6652 ,SER,-99,0.6653 ,21.5389 ,20.1636 ,18.8616 ,Jacobs et al.2019
51.0021 ,-27.1917 ,SER,-99,0.7002 ,21.9654 ,20.2589 ,18.7098 ,Huang et al. 2021
51.1150 ,-44.5028 ,EXP,-99,0.7927 ,21.8945 ,20.6627 ,19.1352 ,Stein et al.2022
51.2450 ,-11.5876 ,SER,-99,0.4236 ,21.3772 ,19.5575 ,18.5142 ,Huang et al. 2021
51.3049 ,-12.0802 ,SER,-99,0.6046 ,21.2275 ,20.1059 ,18.9879 ,Stein et al.2022
52.0052 ,-40.4992 ,DEV,-99,0.5698 ,20.9959 ,19.6003 ,18.4847 ,Jacobs et al.2019
52.0124 ,-21.6761 ,DEV,-99,0.8120 ,23.1326 ,21.2730 ,19.3479 ,Stein et al.2022
52.3771 ,-52.0246 ,SER,-99,0.6543 ,21.5180 ,19.8141 ,18.3221 ,Stein et al.2022
52.5973 ,-63.0369 ,SER,-99,0.4964 ,21.6195 ,20.5590 ,19.7153 ,Stein et al.2022
52.6284 ,-21.4532 ,REX,-99,0.7413 ,21.6488 ,20.7546 ,19.6820 ,Jacobs et al.2019
52.7565 ,-9.4508 ,DEV,-99,0.8378 ,23.4517 ,21.3966 ,19.3236 ,Huang et al. 2021
